Name,ShortName,FullName,CCF_Rank
ETS,ETS,IEEE European Test Symposium,C
FPL,FPL,International Conference on Field-Programmable Logic and Applications,C
FCCM,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,C
GLSVLSI,GLSVLSI,Great Lakes Symposium on VLSI,C
ATS,ATS,IEEE Asian Test Symposium,C
HPCC,HPCC,IEEE International Conference on High Performance Computing and Communications,C
HiPC,HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",C
MASCOTS,MASCOTS,"International Symposium on Modeling, Analysis, andSimulation of Computer and Telecommunication Systems",C
ISPA,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,C
CCGRID,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",C
NPC,NPC,IFIP International Conference on Network and Parallel Computing,C
ICA3PP,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,C
CASES,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",C
FPT,FPT,International Conference on Field-Programmable Technology,C
ICPADS,ICPADS,International Conference on Parallel and Distributed Systems,C
ISLPED,ISLPED,International Symposium on Low Power Electronics and Design,C
ISPD,ISPD,International Symposium on Physical Design,C
HOTI,HOTI,IEEE Symposium on High-Performance Interconnects,C
VTS,VTS,IEEE VLSI Test Symposium,C
ITC-Asia,ITC-Asia,International Test Conference in Asia,C
SEC,SEC,ACM/IEEE Symposium on Edge Computing,C
NAS,NAS,"International Conference on Networking, Architecture and Storages",C
HotStorage,HotStorage,Hot Topics in Storage and File Systems,C
APPT,APPT,International Symposium on Advanced Parallel Processing Technology,C
JCC,JCC,International Conference on Joint Cloud Computing,C
SIGCOMM,SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A
MobiCom,MobiCom,ACM International Conference on Mobile Computing and Networking,A
INFOCOM,INFOCOM,IEEE International Conference on Computer Communications,A
NSDI,NSDI,Symposium on Network System Design and Implementation,A
SenSys,SenSys,ACM Conference on Embedded Networked Sensor Systems,B
CoNEXT,CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,B
SECON,SECON,"IEEE International Conference on Sensing, Communication, and Networking",B
IPSN,IPSN,International Conference on Information Processing in Sensor Networks,B
MobiSys,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",B
ICNP,ICNP,IEEE International Conference on Network Protocols,B
MobiHoc,MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",B
NOSSDAV,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,B
IWQoS,IWQoS,IEEE/ACM International Workshop on Quality of Service,B
IMC,IMC,ACM Internet Measurement Conference,B
ANCS,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,C
APNOMS,APNOMS,Asia-Pacific Network Operations and Management Symposium,C
FORTE,FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",C
LCN,LCN,IEEE Conference on Local Computer Networks,C
GLOBECOM,GLOBECOM,IEEE Global Communications Conference,C
ICC,ICC,IEEE International Conference on Communications,C
ICCCN,ICCCN,IEEE International Conference on Computer Communications and Networks,C
MASS,MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,C
P2P,P2P,IEEE International Conference on P2P Computing,C
IPCCC,IPCCC,IEEE International Performance Computing and Communications Conference,C
WoWMoM,WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,C
ISCC,ISCC,IEEE Symposium on Computers and Communications,C
WCNC,WCNC,IEEE Wireless Communications and Networking Conference,C
Networking,Networking,IFIP International Conferences on Networking,C
IM,IM,IFIP/IEEE International Symposium on Integrated NetworkManagement,C
MSN,MSN,"International Conference on Mobility, Sensing and Networking",C
MSWiM,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",C
WASA,WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,C
HotNets,HotNets,ACM The Workshop on Hot Topics in Networks,C
APNet,APNet,Asia-Pacific Workshop on Networking,C
CCS,CCS,ACM Conference on Computer and Communications Security,A
EUROCRYPT,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,A
S&P,S&P,IEEE Symposium on Security and Privacy,A
CRYPTO,CRYPTO,International Cryptology Conference,A
USENIX Security,USENIX Security,USENIX Security Symposium,A
NDSS,NDSS,Network and Distributed System Security Symposium,A
ACSAC,ACSAC,Annual Computer Security Applications Conference,B
ASIACRYPT,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,B
ESORICS,ESORICS,European Symposium on Research in Computer Security,B
FSE,FSE,Fast Software Encryption,B
CSFW,CSFW,IEEE Computer Security Foundations Workshop,B
SRDS,SRDS,IEEE International Symposium on Reliable Distributed Systems,B
CHES,CHES,International Conference on Cryptographic Hardware and Embedded Systems,B
DSN,DSN,International Conference on Dependable Systems and Networks,B
RAID,RAID,International Symposium on Recent Advances in Intrusion Detection,B
PKC,PKC,International Workshop on Practice and Theory in Public Key Cryptography,B
TCC,TCC,Theory of Cryptography Conference,B
WiSec,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,C
SACMAT,SACMAT,ACM Symposium on Access Control Models and Technologies,C
DRM,DRM,ACM Workshop on Digital Rights Management,C
IH&MMSec,IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,C
ACNS,ACNS,International Conference on Applied Cryptography and Network Security,C
AsiaCCS,AsiaCCS,ACM Asia Conference on Computer and Communications Security,C
ACISP,ACISP,AustralasiaConferenceonInformation SecurityandPrivacy,C
CT-RSA,CT-RSA,The Cryptographer’s Track at RSA Conference,C
DIMVA,DIMVA,Conference on Detection of Intrusions and Malware & VulnerabilityAssessment,C
DFRWS,DFRWS,Digital Forensic Research Workshop,C
FC,FC,Financial Cryptography and Data Security,C
TrustCom,TrustCom,"IEEE International Conference on Trust,Security and Privacy in Computing and Communications",C
SEC,SEC,IFIP International Information Security Conference,C
IFIP WG 11.9,IFIP WG 11.9,IFIP Working Group 11.9 International Conference on Digital Forensics,C
ISC,ISC,Information Security Conference,C
ICDF2C,ICDF2C,International Conference on Digital Forensics & Cyber Crime,C
ICICS,ICICS,International Conference on Information and Communications Security,C
SecureComm,SecureComm,International Conference on Security and Privacy in Communication Networks,C
NSPW,NSPW,New Security Paradigms Workshop,C
PAM,PAM,Passive and Active Measurement Conference,C
PETS,PETS,Privacy Enhancing Technologies Symposium,C
SAC,SAC,Selected Areas in Cryptography,C
SOUPS,SOUPS,Symposium On Usable Privacy and Security,C
HotSec,HotSec,USENIX Workshop on Hot Topics in Security,C
EuroS&P,EuroS&P,IEEE European Symposium on Security and Privacy,C
Inscrypt,Inscrypt,International Conference on Information Security and Cryptology,C
CODASPY,CODASPY,Conference on Data and Application Security and Privacy,C
BlockSys,BlockSys,"International Conference on Blockchain, Artificial Intelligence, and Trustworthy Systems",C
CSCloud,CSCloud,International Conference on Cyber Security and Cloud Computing,C
PLDI,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,A
POPL,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,A
FSE,FSE,ACM International Conference on the Foundations of Software Engineering,A
SOSP,SOSP,ACM Symposium on Operating Systems Principles,A
OOPSLA,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages,and Applications",A
ASE,ASE,International Conference on Automated Software Engineering,A
ICSE,ICSE,International Conference on Software Engineering,A
ISSTA,ISSTA,International Symposium on Software Testing and Analysis,A
OSDI,OSDI,USENIX Symposium on Operating Systems Design and Implementation,A
FM,FM,International Symposium on Formal Methods,A
ECOOP,ECOOP,European Conference on Object-Oriented Programming,B
ETAPS,ETAPS,European Joint Conferences on Theory and Practice of Software,B
ICPC,ICPC,IEEE International Conference on Program Comprehension,B
RE,RE,IEEE International Requirements Engineering Conference,B
CAiSE,CAiSE,International Conference on Advanced Information Systems Engineering,B
ICFP,ICFP,ACM SIGPLAN International Conference on Function Programming,B
LCTES,LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers andTools for Embedded Systems",B
MoDELS,MoDELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,B
CP,CP,International Conference on Principles and Practice of Constraint Programming,B
ICSOC,ICSOC,International Conference on Service Oriented Computing,B
SANER,SANER,"IEEE International Conference on Software Analysis, Evolution,and Reengineering",B
ICSME,ICSME,International Conference on Software Maintenance and Evolution,B
VMCAI,VMCAI,"International Conference on Verification,Model Checking, and Abstract Interpretation",B
ICWS,ICWS,IEEE International Conference on Web Services,B
Middleware,Middleware,International Middleware Conference,B
SAS,SAS,International Static Analysis Symposium,B
ESEM,ESEM,International Symposium on Empirical Software Engineering and Measurement,B
ISSRE,ISSRE,IEEE International Symposium on Software Reliability Engineering,B
HotOS,HotOS,USENIX Workshop on Hot Topics in Operating Systems,B
CC,CC,International Conference on Compiler Construction,B
PEPM,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,C
PASTE,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,C
APLAS,APLAS,Asian Symposium on Programming Languages and Systems,C
APSEC,APSEC,Asia-Pacific Software Engineering Conference,C
EASE,EASE,International Conference on Evaluation and Assessment in Software Engineering,C
ICECCS,ICECCS,International Conference on Engineering of Complex Computer Systems,C
ICST,ICST,"IEEE International Conference on Software Testing, Verification and Validation",C
ISPASS,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,C
SCAM,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,C
COMPSAC,COMPSAC,International Computer Software and Applications Conference,C
ICFEM,ICFEM,International Conference on Formal Engineering Methods,C
SSE,SSE,IEEE International Conference on Software Services Engineering,C
ICSSP,ICSSP,International Conference on Software and System Process,C
SEKE,SEKE,International Conference on Software Engineering and Knowledge Engineering,C
QRS,QRS,"International Conference on Software Quality, Reliability and Security",C
ICSR,ICSR,International Conference on Software Reuse,C
ICWE,ICWE,International Conference on Web Engineering,C
SPIN,SPIN,International Symposium on Model Checking of Software,C
ATVA,ATVA,International Symposium on Automated Technology for Verification and Analysis,C
LOPSTR,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,C
TASE,TASE,Theoretical Aspects of Software Engineering Conference,C
MSR,MSR,Mining Software Repositories,C
REFSQ,REFSQ,Requirements Engineering: Foundation for Software Quality,C
WICSA,WICSA,Working IEEE/IFIP Conference on Software Architecture,C
Internetware,Internetware,Asia-Pacific Symposium on Internetware,C
RV,RV,International Conference on Runtime Verification,C
MEMOCODE,MEMOCODE,International Conference on Formal Methods and Models for Co-Design,C
SIGMOD,SIGMOD,ACM SIGMOD Conference,A
SIGKDD,SIGKDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,A
ICDE,ICDE,IEEE International Conference on Data Engineering,A
SIGIR,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,A
VLDB,VLDB,International Conference on Very Large Data Bases,A
CIKM,CIKM,ACM International Conference on Information and Knowledge Management,B
WSDM,WSDM,ACM International Conference on Web Search and Data Mining,B
PODS,PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,B
DASFAA,DASFAA,International Conference on Database Systems for Advanced Applications,B
ECML-PKDD,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,B
ISWC,ISWC,IEEE International Semantic Web Conference,B
ICDM,ICDM,IEEE International Conference on Data Mining,B
ICDT,ICDT,International Conference on Database Theory,B
EDBT,EDBT,International Conference on Extending DatabaseTechnology,B
CIDR,CIDR,Conference on Innovative DataSystems Research,B
SDM,SDM,SIAM International Conference on Data Mining,B
RecSys,RecSys,ACM Conference on Recommender Systems,B
WISE,WISE,Web Information Systems Engineering Conference,B
APWeb,APWeb,Asia Pacific Web Conference,C
DEXA,DEXA,International Conference on Database and Expert System Applications,C
ECIR,ECIR,European Conference on Information Retrieval,C
ESWC,ESWC,Extended Semantic Web Conference,C
WebDB,WebDB,International Workshop on Web andDatabases,C
ER,ER,International Conference on Conceptual Modeling,C
MDM,MDM,International Conference on Mobile Data Management,C
SSDBM,SSDBM,International Conference on Scientific andStatistical Database Management,C
WAIM,WAIM,International Conference on Web Age Information Management,C
SSTD,SSTD,International Symposium on Spatial and Temporal Databases,C
PAKDD,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,C
ADMA,ADMA,International Conference on Advanced Data Mining and Applications,C
WISA,WISA,Web Information Systems and Applications,C
STOC,STOC,ACM Symposium on the Theory of Computing,A
SODA,SODA,ACM-SIAM Symposium on Discrete Algorithms,A
CAV,CAV,International Conference on Computer Aided Verification,A
FOCS,FOCS,IEEE Annual Symposium on Foundations of Computer Science,A
LICS,LICS,ACM/IEEE Symposium on Logic in Computer Science,A
SoCG,SoCG,International Symposium on Computational Geometry,B
ESA,ESA,European Symposium on Algorithms,B
CCC,CCC,Conference on Computational Complexity,B
ICALP,ICALP,"International Colloquium on Automata, Languages and Programming",B
CADE,CADE,Conference on Automated Deduction,B
CONCUR,CONCUR,International Conference on Concurrency Theory,B
HSCC,HSCC,International Conference on Hybrid Systems: Computation and Control,B
SAT,SAT,International Conference on Theory and Applications of Satisfiability Testing,B
COCOON,COCOON,International Computing and Combinatorics Conference,B
FMCAD,FMCAD,Formal Methods in Computer-Aided Design,B
CSL,CSL,Computer Science Logic,C
FSTTCS,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,C
DSAA,DSAA,IEEE International Conference on Data Science and Advanced Analytics,C
ICTAC,ICTAC,International Colloquium on Theoretical Aspects of Computing,C
IPCO,IPCO,International Conference on Integer Programming and Combinatorial Optimization,C
FSCD,FSCD,International Conference on Formal Structures for Computation and Deduction,C
ISAAC,ISAAC,International Symposium on Algorithms and Computation,C
MFCS,MFCS,International Conference on Mathematical Foundations of Computer Science,C
STACS,STACS,Symposium on Theoretical Aspects of Computer Science,C
SETTA,SETTA,"International Symposium on Software Engineering: Theories, Tools, and Applications",C
ACM MM,ACM MM,ACM International Conference on Multimedia,A
SIGGRAPH,SIGGRAPH,ACM Special Interest Group on Computer Graphics,A
VR,VR,IEEE Conference on Virtual Reality and 3D User Interfaces,A
IEEE VIS,IEEE VIS,IEEE Visualization Conference,A
ICMR,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,B
I3D,I3D,ACM SIGGRAPH Symposium onInteractive 3D Graphics and Games,B
SCA,SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B
DCC,DCC,Data Compression Conference,B
Eurographics,Eurographics,Annual Conference of the European Association for Computer Graphics,B
EuroVis,EuroVis,Eurographics Conference on Visualization,B
SGP,SGP,Eurographics Symposium on Geometry Processing,B
EGSR,EGSR,Eurographics Symposium on Rendering,B
ICASSP,ICASSP,"IEEE International Conference on Acoustics,Speech and Signal Processing",B
ICME,ICME,IEEE International Conference on Multimedia& Expo,B
ISMAR,ISMAR,International Symposium on Mixed and Augmented Reality,B
PG,PG,Pacific Conference on Computer Graphics and Applications,B
SPM,SPM,Symposium on Solid and Physical Modeling,B
INTERSPEECH,INTERSPEECH,Conference of the International Speech Communication Association,B
VRST,VRST,ACM Symposium on Virtual Reality Software and Technology,C
CASAXR,CASAXR,"International Conference on Computer Animation, Social Agents, and Extended Reality",C
CGI,CGI,Computer Graphics International,C
GMP,GMP,Geometric Modeling and Processing,C
PacificVis,PacificVis,IEEE Pacific Visualization Symposium,C
3DV,3DV,International Conference on 3D Vision,C
CAD/Graphics,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,C
ICIP,ICIP,IEEE International Conference on Image Processing,C
MMM,MMM,International Conference on Multimedia Modeling,C
MMAsia,MMAsia,ACM Multimedia Asia,C
SMI,SMI,Shape Modeling International,C
CVM,CVM,Computational Visual Media,C
PRCV,PRCV,Chinese Conference on Pattern Recognition and Computer Vision,C
ICIG,ICIG,International Conference on Image and Graphics,C
NCMMSC,NCMMSC,National Conference on Man-Machine Speech Communication,C
ASRU,ASRU,Automatic Speech Recognition and Understanding Workshop,C
SLT,SLT,Spoken Language Technology,C
AAAI,AAAI,AAAI Conference on Artificial Intelligence,A
NeurIPS,NeurIPS,Conference on Neural Information Processing Systems,A
ACL,ACL,Annual Meeting of the Association for Computational Linguistics,A
CVPR,CVPR,IEEE/CVF Computer Vision and Pattern Recognition Conference,A
ICCV,ICCV,International Conference on Computer Vision,A
ICML,ICML,International Conference on Machine Learning,A
ICLR,ICLR,International Conference on Learning Representations,A
COLT,COLT,Annual Conference on Computational Learning Theory,B
EMNLP,EMNLP,Conference on Empirical Methods in Natural Language Processing,B
ECAI,ECAI,European Conference on Artificial Intelligence,B
ECCV,ECCV,European Conference on Computer Vision,B
ICRA,ICRA,IEEE International Conference on Robotics and Automation,B
ICAPS,ICAPS,International Conference on Automated Planning and Scheduling,B
ICCBR,ICCBR,International Conference on Case-Based Reasoning,B
COLING,COLING,International Conference on Computational Linguistics,B
KR,KR,International Conference on Principles of Knowledge Representation and Reasoning,B
UAI,UAI,Conference on Uncertainty in ArtificialIntelligence,B
AAMAS,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,B
PPSN,PPSN,Parallel Problem Solving from Nature,B
NAACL,NAACL,North American Chapter of the Associationfor Computational Linguistics,B
IJCAI,IJCAI,International Joint Conference on Artificial Intelligence,B
AISTATS,AISTATS,International Conference on Artificial Intelligence and Statistics,C
ACCV,ACCV,Asian Conference on Computer Vision,C
ACML,ACML,Asian Conference on Machine Learning,C
BMVC,BMVC,British Machine Vision Conference,C
NLPCC,NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,C
CoNLL,CoNLL,Conference on Computational Natural Language Learning,C
GECCO,GECCO,Genetic and Evolutionary Computation Conference,C
ICTAI,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,C
IROS,IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,C
ALT,ALT,International Conference on Algorithmic Learning Theory,C
ICANN,ICANN,International Conference on Artificial Neural Networks,C
FG,FG,IEEE International Conference on AutomaticFace and Gesture Recognition,C
ICDAR,ICDAR,International Conference on Document Analysis and Recognition,C
ILP,ILP,International Conference on Inductive Logic Programming,C
KSEM,KSEM,"International conference on Knowledge Science,Engineering and Management",C
ICONIP,ICONIP,International Conference on Neural Information Processing,C
ICPR,ICPR,International Conference on Pattern Recognition,C
IJCB,IJCB,International Joint Conference onBiometrics,C
IJCNN,IJCNN,International Joint Conference on Neural Networks,C
PRICAI,PRICAI,Pacific Rim International Conference on Artificial Intelligence,C
IEEE CEC,IEEE CEC,Congress on Evolutionary Computation,C
DAI,DAI,International Conference on Distributed Artificial Intelligence,C
CSCW,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,A
CHI,CHI,ACM Conference on Human Factors in Computing Systems,A
UbiComp,UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing,A
UIST,UIST,ACM Symposium on User Interface Software and Technology,A
GROUP,GROUP,ACM International Conference on Supporting Group Work,B
IUI,IUI,ACM International Conference on Intelligent User Interfaces,B
ISS,ISS,ACM International Conference on Interactive Surfaces and Spaces,B
ECSCW,ECSCW,European Conference on Computer Supported Cooperative Work,B
PERCOM,PERCOM,IEEE International Conference on Pervasive Computing and Communications,B
MobileHCI,MobileHCI,ACM International Conference on Mobile Human-Computer Interaction,B
ICWSM,ICWSM,The International AAAI Conference on Web and Social Media,B
DIS,DIS,ACM SIGCHI Conference on Designing Interactive Systems,C
ICMI,ICMI,ACM International Conference on Multimodal Interaction,C
ASSETS,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,C
GI,GI,Graphics Interface,C
UIC,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,C
IEEE World Haptics Conference,,IEEE World Haptics Conference,C
INTERACT,INTERACT,International Conference on Human- Computer Interaction of International Federation for Information Processing,C
IDC,IDC,ACM Interaction Design and Children,C
CollaborateCom,CollaborateCom,"International Conference on Collaborative Computing:Networking, Applications and Worksharing",C
CSCWD,CSCWD,International Conference on Computer Supported Cooperative Work in Design,C
CoopIS,CoopIS,International Conference on Cooperative Information Systems,C
MobiQuitous,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing,Networking and Services",C
AVI,AVI,International Working Conference on Advanced Visual Interfaces,C
GPC,GPC,"Conference on Green, Pervasive and Cloud Computing",C
ICXR,ICXR,CCF International Conference on Extended Reality,C
WWW,WWW,The Web Conference,A
RTSS,RTSS,IEEE Real-Time Systems Symposium,A
CogSci,CogSci,Annual Meeting of the Cognitive Science Society,B
BIBM,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,B
EMSOFT,EMSOFT,International Conference on Embedded Software,B
ISMB,ISMB,International conference on Intelligent Systems for Molecular Biology,B
RECOMB,RECOMB,Annual International Conference on Research inComputational Molecular Biology,B
MICCAI,MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention,B
WINE,WINE,Conference on Web and Internet Economics,B
AMIA,AMIA,American Medical Informatics Association Annual Symposium,C
APBC,APBC,Asia Pacific Bioinformatics Conference,C
IEEE BigData,IEEE BigData,IEEE International Conference on Big Data,C
IEEE CLOUD,IEEE CLOUD,IEEE International Conference on Cloud Computing,C
SMC,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",C
COSIT,COSIT,International Conference on Spatial Information Theory,C
ISBRA,ISBRA,International Symposium on Bioinformatics Research and Applications,C
SAGT,SAGT,International Symposium on Algorithmic Game Theory,C
SIGSPATIAL,SIGSPATIAL,ACM Special Interest Group on Spatial Information,C
ICIC,ICIC,International Conference on Intelligent Computing,C
ICSS,ICSS,International Conference on Service Science,C
AFT,AFT,Advances in Financial Technologies,C
IJTCS-FAW,IJTCS-FAW,International Joint Conference on Theoretical Computer Science-Frontier of Algorithmic Wisdom,C
TOCS,TOCS,ACM Transactions on Computer Systems,A
TOS,TOS,ACM Transactions on Storage,A
TCAD,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,A
TC,TC,IEEE Transactions on Computers,A
TPDS,TPDS,IEEE Transactions on Parallel and Distributed Systems,A
TACO,TACO,ACM Transactions on Architecture and Code Optimization,A
TAAS,TAAS,ACM Transactions on Autonomous and Adaptive Systems,B
TODAES,TODAES,ACM Transactions on Design Automation of Electronic Systems,B
TECS,TECS,ACM Transactions on Embedded Computing Systems,B
TRETS,TRETS,ACM Transactions on Reconfigurable Technology and Systems,B
TVLSI,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,B
JPDC,JPDC,Journal of Parallel and Distributed Computing,B
JSA,JSA,Journal of Systems Architecture: Embedded Software Design,B
Parallel Computing,,Parallel Computing,B
Performance Evaluation: An International Journal,,Performance Evaluation: An International Journal,B
TCC,TCC,IEEE Transactions on Cloud Computing,B
JETC,JETC,ACM Journal on Emerging Technologies in Computing Systems,C
Concurrency and Computation: Practice and Experience,,Concurrency and Computation: Practice and Experience,C
DC,DC,Distributed Computing,C
FGCS,FGCS,Future Generation Computer Systems,C
Integration,Integration,"Integration, the VLSI Journal",C
JETTA,JETTA,Journal of Electronic Testing-Theory and Applications,C
JGC,JGC,The Journal of Grid computing,C
RTS,RTS,Real-Time Systems,C
TJSC,TJSC,The Journal of Supercomputing,C
TCASI,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,C
CCF-THPC,CCF-THPC,CCF Transactions on High Performance Computing,C
TSUSC,TSUSC,IEEE Transactions on Sustainable Computing,C
JSAC,JSAC,IEEE Journal on Selected Areas in Communications,A
TMC,TMC,IEEE Transactions on Mobile Computing,A
TON,TON,IEEE Transactions on Networking,A
TOIT,TOIT,ACM Transactions on Internet Technology,B
TOMM,TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",B
TOSN,TOSN,ACM Transactions on Sensor Networks,B
CN,CN,Computer Networks,B
TCOM,TCOM,IEEE Transactions on Communications,B
TWC,TWC,IEEE Transactions on Wireless Communications,B
Ad hoc Networks,,Ad hoc Networks,C
CC,CC,Computer Communications,C
TNSM,TNSM,IEEE Transactions on Network and Service Management,C
IET Communications,,IET Communications,C
JNCA,JNCA,Journal of Network and Computer Applications,C
MONET,MONET,Mobile Networks and Applications,C
Networks,,Networks,C
PPNA,PPNA,Peer-to-Peer Networking and Applications,C
WCMC,WCMC,Wireless Communications and Mobile Computing,C
Wireless Networks,,Wireless Networks,C
IOT,IOT,IEEE Internet of Things Journal,C
TIOT,TIOT,ACM Transactions on Internet of Things,C
TDSC,TDSC,IEEE Transactions on Dependable and Secure Computing,A
TIFS,TIFS,IEEE Transactions on Information Forensics and Security,A
Journal of Cryptology,,Journal of Cryptology,A
TOPS,TOPS,ACM Transactions on Privacy and Security,B
Computers & Security,,Computers & Security,B
"Designs, Codes and Cryptography",,"Designs, Codes and Cryptography",B
JCS,JCS,Journal of Computer Security,B
Cybersecurity,Cybersecurity,Cybersecurity,B
CLSR,CLSR,Computer Law & Security Review,C
EURASIP Journal on Information Security,,EURASIP Journal on Information Security,C
IET Information Security,,IET Information Security,C
IMCS,IMCS,Information and Computer Security,C
